""name"";"normal_capacity";"reserve";"fill_rate";"date"
"Oued El Makhazine";"672.9";"629";"93.5";"15/04/2021"
"Oued El Makhazine";"672.9";"672.9";"100";"15/04/2020"
"Hassan II";"392.3";"113.2";"28.9";"15/04/2021"
"Hassan II";"392.3";"119.9";"30.6";"15/04/2020"
"Oued ZA";"94.9";"67.6";"71.3";"15/04/2021"
"Oued ZA";"94.9";"94.9";"100";"15/04/2020"
"Mohamed V";"239.5";"74.1";"31";"15/04/2021"
"Mohamed V";"239.5";"166.6";"69.6";"15/04/2020"
"Idriss 1er";"1129.6";"893";"79.1";"15/04/2021"
"Idriss 1er";"1129.6";"924.3";"81.8";"15/04/2020"
"Al Wahda";"3522.3";"2623.6";"74.5";"15/04/2021"
"Al Wahda";"3522.3";"2134.5";"60.6";"15/04/2020"
"El Kensera";"216.4";"101";"46.7";"15/04/2021"
"El Kensera";"216.4";"106.1";"49";"15/04/2020"
"Bin El Ouidane";"1215.5";"432.6";"35.6";"15/04/2021"
"Bin El Ouidane";"1215.5";"465.9";"38.3";"15/04/2020"
"Al Hanssali";"668.2";"255";"38.2";"15/04/2021"
"Al Hanssali";"668.2";"182.8";"27.4";"15/04/2020"
"Al Massira";"2657";"314.6";"11.8";"15/04/2021"
"Al Massira";"2657";"444.3";"16.7";"15/04/2020"
"Oued El Makhazine";"672.9";"628.6";"93.4";"18/04/2021"
"Oued El Makhazine";"672.9";"672.9";"100";"18/04/2020"
"Hassan II";"392.3";"113.2";"28.9";"18/04/2021"
"Hassan II";"392.3";"119.9";"30.6";"18/04/2020"
"Oued ZA";"94.9";"67.7";"71.4";"18/04/2021"
"Oued ZA";"94.9";"94.9";"100";"18/04/2020"
"Mohamed V";"239.5";"77.8";"32.5";"18/04/2021"
"Mohamed V";"239.5";"166.6";"69.6";"18/04/2020"
"Idriss 1er";"1129.6";"894.5";"79.2";"18/04/2021"
"Idriss 1er";"1129.6";"924.3";"81.8";"18/04/2020"
"Al Wahda";"3522.3";"2622.6";"74.5";"18/04/2021"
"Al Wahda";"3522.3";"2134.5";"60.6";"18/04/2020"
"El Kensera";"216.4";"109.3";"50.5";"18/04/2021"
"El Kensera";"216.4";"106.1";"49";"18/04/2020"
"Bin El Ouidane";"1215.5";"434.5";"35.7";"18/04/2021"
"Bin El Ouidane";"1215.5";"465.9";"38.3";"18/04/2020"
"Al Hanssali";"668.2";"256";"38.3";"18/04/2021"
"Al Hanssali";"668.2";"182.8";"27.4";"18/04/2020"
"Al Massira";"2657";"316.7";"11.9";"18/04/2021"
"Al Massira";"2657";"444.3";"16.7";"18/04/2020"
"Al Hanssali";"668.2";"256";"38.3";"18/04/2021"
"Oued El Makhazine";"672.9";"628.3";"93.4";"20/04/2021"
"Oued El Makhazine";"672.9";"672.9";"100";"20/04/2020"
"Hassan II";"392.3";"113.3";"28.9";"20/04/2021"
"Hassan II";"392.3";"119.9";"30.6";"20/04/2020"
"Oued ZA";"94.9";"68.3";"72";"20/04/2021"
"Oued ZA";"94.9";"94.9";"100";"20/04/2020"
"Mohamed V";"239.5";"90.3";"37.7";"20/04/2021"
"Mohamed V";"239.5";"164.9";"68.8";"20/04/2020"
"Idriss 1er";"1129.6";"898.6";"79.5";"20/04/2021"
"Idriss 1er";"1129.6";"932.5";"82.6";"20/04/2020"
"Al Wahda";"3522.3";"2621.5";"74.4";"20/04/2021"
"Al Wahda";"3522.3";"2144.5";"60.9";"20/04/2020"
"El Kensera";"216.4";"109.4";"50.5";"20/04/2021"
"El Kensera";"216.4";"106";"49";"20/04/2020"
"Bin El Ouidane";"1215.5";"442.3";"36.4";"20/04/2021"
"Bin El Ouidane";"1215.5";"458";"37.7";"20/04/2020"
"Al Hanssali";"668.2";"252.4";"37.8";"20/04/2021"
"Al Hanssali";"668.2";"182.3";"27.3";"20/04/2020"
"Al Massira";"2657";"324.6";"12.2";"20/04/2021"
"Al Massira";"2657";"441.3";"16.6";"20/04/2020"
"Oued El Makhazine";"672.9";"627.6";"93.3";"22/04/2021"
"Oued El Makhazine";"672.9";"672.9";"100";"22/04/2020"
"Hassan II";"392.3";"113.3";"28.9";"22/04/2021"
"Hassan II";"392.3";"119.9";"30.6";"22/04/2020"
"Oued ZA";"94.9";"68.3";"72";"22/04/2021"
"Oued ZA";"94.9";"94.9";"100";"22/04/2020"
"Mohamed V";"239.5";"90.7";"37.9";"22/04/2021"
"Mohamed V";"239.5";"181";"75.6";"22/04/2020"
"Idriss 1er";"1129.6";"899.1";"79.6";"22/04/2021"
"Idriss 1er";"1129.6";"938.1";"83.1";"22/04/2020"
"Al Wahda";"3522.3";"2619.5";"74.4";"22/04/2021"
"Al Wahda";"3522.3";"2159.2";"61.3";"22/04/2020"
"El Kensera";"216.4";"109.2";"50.5";"22/04/2021"
"El Kensera";"216.4";"106";"49";"22/04/2020"
"Bin El Ouidane";"1215.5";"446.9";"36.8";"22/04/2021"
"Bin El Ouidane";"1215.5";"460";"37.8";"22/04/2020"
"Al Hanssali";"668.2";"252.3";"37.8";"22/04/2021"
"Al Hanssali";"668.2";"183";"27.4";"22/04/2020"
"Al Massira";"2657";"323.9";"12.2";"22/04/2021"
"Al Massira";"2657";"443";"16.7";"22/04/2020"
"Oued El Makhazine";"672.9";"627.6";"93.3";"11/05/2021"
"Oued El Makhazine";"672.9";"659.1";"98";"11/05/2020"
"Hassan II";"392.3";"114";"29.1";"11/05/2021"
"Hassan II";"392.3";"119.8";"30.5";"11/05/2020"
"Oued ZA";"94.9";"85.9";"90.5";"11/05/2021"
"Oued ZA";"94.9";"94.9";"100";"11/05/2020"
"Mohamed V";"239.5";"93.2";"38.9";"11/05/2021"
"Mohamed V";"239.5";"173.9";"72.6";"11/05/2020"
"Idriss 1er";"1129.6";"885.5";"78.4";"11/05/2021"
"Idriss 1er";"1129.6";"953";"84.4";"11/05/2020"
"Al Wahda";"3522.3";"2625.6";"74.5";"11/05/2021"
"Al Wahda";"3522.3";"2243.6";"63.7";"11/05/2020"
"El Kensera";"216.4";"108.1";"50";"11/05/2021"
"El Kensera";"216.4";"103.8";"48";"11/05/2020"
"Bin El Ouidane";"1215.5";"443.3";"36.5";"11/05/2021"
"Bin El Ouidane";"1215.5";"450";"37";"11/05/2020"
"Al Hanssali";"668.2";"236.7";"35.4";"11/05/2021"
"Al Hanssali";"668.2";"184.5";"27.6";"11/05/2020"
"Al Massira";"2657";"322.9";"12.2";"11/05/2021"
"Al Massira";"2657";"438.3";"16.5";"11/05/2020"
"Al Hanssali";"668.2";"236.7";"35.4";"11/05/2021"
"Oued El Makhazine";"672.9";"623.7";"92.7";"18/05/2021"
"Oued El Makhazine";"672.9";"671.4";"99.8";"18/05/2020"
"Hassan II";"392.3";"113.8";"29";"18/05/2021"
"Hassan II";"392.3";"119.7";"30.5";"18/05/2020"
"Oued ZA";"94.9";"84.9";"89.5";"18/05/2021"
"Oued ZA";"94.9";"94.9";"100";"18/05/2020"
"Mohamed V";"239.5";"86.3";"36";"18/05/2021"
"Mohamed V";"239.5";"183.7";"76.7";"18/05/2020"
"Idriss 1er";"1129.6";"878.5";"77.8";"18/05/2021"
"Idriss 1er";"1129.6";"969.6";"85.8";"18/05/2020"
"Al Wahda";"3522.3";"2617.5";"74.3";"18/05/2021"
"Al Wahda";"3522.3";"2268.9";"64.4";"18/05/2020"
"El Kensera";"216.4";"104.3";"48.2";"18/05/2021"
"El Kensera";"216.4";"101.8";"47";"18/05/2020"
"Bin El Ouidane";"1215.5";"442.7";"36.4";"18/05/2021"
"Bin El Ouidane";"1215.5";"445.7";"36.7";"18/05/2020"
"Al Hanssali";"668.2";"226.2";"33.9";"18/05/2021"
"Al Hanssali";"668.2";"190.2";"28.5";"18/05/2020"
"Al Massira";"2657";"323.9";"12.2";"18/05/2021"
"Al Massira";"2657";"443.5";"16.7";"18/05/2020"
"Oued El Makhazine";"672.9";"618.7";"92";"25/05/2021"
"Oued El Makhazine";"672.9";"672.1";"99.9";"25/05/2020"
"Hassan II";"392.3";"113.6";"29";"25/05/2021"
"Hassan II";"392.3";"119.4";"30.4";"25/05/2020"
"Oued ZA";"94.9";"84.3";"88.8";"25/05/2021"
"Oued ZA";"94.9";"94.9";"100";"25/05/2020"
"Mohamed V";"239.5";"73.8";"30.8";"25/05/2021"
"Mohamed V";"239.5";"191.1";"79.8";"25/05/2020"
"Idriss 1er";"1129.6";"874.1";"77.4";"25/05/2021"
"Idriss 1er";"1129.6";"973.7";"86.2";"25/05/2020"
"Al Wahda";"3522.3";"2602.2";"73.9";"25/05/2021"
"Al Wahda";"3522.3";"2280.2";"64.7";"25/05/2020"
"El Kensera";"216.4";"110.8";"51.2";"25/05/2021"
"El Kensera";"216.4";"100";"46.2";"25/05/2020"
"Bin El Ouidane";"1215.5";"435.7";"35.8";"25/05/2021"
"Bin El Ouidane";"1215.5";"458.2";"37.7";"25/05/2020"
"Al Hanssali";"668.2";"216.2";"32.4";"25/05/2021"
"Al Hanssali";"668.2";"185";"27.7";"25/05/2020"
"Al Massira";"2657";"323.5";"12.2";"25/05/2021"
"Al Massira";"2657";"450.9";"17";"25/05/2020"
"Oued El Makhazine";"672.9";"617.7";"91.8";"26/05/2021"
"Oued El Makhazine";"672.9";"672.1";"99.9";"26/05/2020"
"Hassan II";"392.3";"113.5";"28.9";"26/05/2021"
"Hassan II";"392.3";"119.4";"30.4";"26/05/2020"
"Oued ZA";"94.9";"84.4";"88.9";"26/05/2021"
"Oued ZA";"94.9";"94.9";"100";"26/05/2020"
"Mohamed V";"239.5";"72.5";"30.3";"26/05/2021"
"Mohamed V";"239.5";"191.1";"79.8";"26/05/2020"
"Idriss 1er";"1129.6";"872.6";"77.2";"26/05/2021"
"Idriss 1er";"1129.6";"973.7";"86.2";"26/05/2020"
"Al Wahda";"3522.3";"2600.1";"73.8";"26/05/2021"
"Al Wahda";"3522.3";"2280.2";"64.7";"26/05/2020"
"El Kensera";"216.4";"110";"50.8";"26/05/2021"
"El Kensera";"216.4";"100";"46.2";"26/05/2020"
"Bin El Ouidane";"1215.5";"433.7";"35.7";"26/05/2021"
"Bin El Ouidane";"1215.5";"458.2";"37.7";"26/05/2020"
"Al Hanssali";"668.2";"215.5";"32.3";"26/05/2021"
"Al Hanssali";"668.2";"185";"27.7";"26/05/2020"
"Al Massira";"2657";"323.5";"12.2";"26/05/2021"
"Al Massira";"2657";"450.9";"17";"26/05/2020"
"Oued El Makhazine";"672.9";"612.4";"91";"01/06/2021"
"Oued El Makhazine";"672.9";"670.3";"99.6";"01/06/2020"
"Hassan II";"392.3";"113.5";"28.9";"01/06/2021"
"Hassan II";"392.3";"119.4";"30.4";"01/06/2020"
"Oued ZA";"94.9";"87.5";"92.2";"01/06/2021"
"Oued ZA";"94.9";"94.9";"100";"01/06/2020"
"Mohamed V";"239.5";"68.8";"28.7";"01/06/2021"
"Mohamed V";"239.5";"178";"74.3";"01/06/2020"
"Idriss 1er";"1129.6";"860.2";"76.2";"01/06/2021"
"Idriss 1er";"1129.6";"960.2";"85";"01/06/2020"
"Al Wahda";"3522.3";"2585.9";"73.4";"01/06/2021"
"Al Wahda";"3522.3";"2267.9";"64.4";"01/06/2020"
"El Kensera";"216.4";"106.3";"49.1";"01/06/2021"
"El Kensera";"216.4";"94.6";"43.7";"01/06/2020"
"Bin El Ouidane";"1215.5";"422.8";"34.8";"01/06/2021"
"Bin El Ouidane";"1215.5";"453";"37.3";"01/06/2020"
"Al Hanssali";"668.2";"205.6";"30.8";"01/06/2021"
"Al Hanssali";"668.2";"175.4";"26.2";"01/06/2020"
"Al Massira";"2657";"325.6";"12.3";"01/06/2021"
"Al Massira";"2657";"455.3";"17.1";"01/06/2020"
"Oued El Makhazine";"672.9";"610.9";"90.8";"03/06/2021"
"Oued El Makhazine";"672.9";"668.5";"99.4";"03/06/2020"
"Hassan II";"392.3";"113.6";"29";"03/06/2021"
"Hassan II";"392.3";"120.4";"30.7";"03/06/2020"
"Oued ZA";"94.9";"87.6";"92.3";"03/06/2021"
"Oued ZA";"94.9";"94.9";"100";"03/06/2020"
"Mohamed V";"239.5";"66";"27.5";"03/06/2021"
"Mohamed V";"239.5";"173.5";"72.4";"03/06/2020"
"Idriss 1er";"1129.6";"855.8";"75.8";"03/06/2021"
"Idriss 1er";"1129.6";"958.2";"84.8";"03/06/2020"
"Al Wahda";"3522.3";"2579.8";"73.2";"03/06/2021"
"Al Wahda";"3522.3";"2261.4";"64.2";"03/06/2020"
"El Kensera";"216.4";"105.5";"48.7";"03/06/2021"
"El Kensera";"216.4";"93";"43";"03/06/2020"
"Bin El Ouidane";"1215.5";"419.4";"34.5";"03/06/2021"
"Bin El Ouidane";"1215.5";"449";"36.9";"03/06/2020"
"Al Hanssali";"668.2";"202.9";"30.4";"03/06/2021"
"Al Hanssali";"668.2";"173.4";"26";"03/06/2020"
"Al Massira";"2657";"324.2";"12.2";"03/06/2021"
"Al Massira";"2657";"453.1";"17.1";"03/06/2020"
"Oued El Makhazine";"672.9";"609.5";"90.6";"07/06/2021"
"Oued El Makhazine";"672.9";"667.4";"99.2";"07/06/2020"
"Hassan II";"392.3";"113.6";"29";"07/06/2021"
"Hassan II";"392.3";"120.3";"30.7";"07/06/2020"
"Oued ZA";"94.9";"87.7";"92.5";"07/06/2021"
"Oued ZA";"94.9";"94.9";"100";"07/06/2020"
"Mohamed V";"239.5";"64.8";"27.1";"07/06/2021"
"Mohamed V";"239.5";"164.9";"68.8";"07/06/2020"
"Idriss 1er";"1129.6";"855.3";"75.7";"07/06/2021"
"Idriss 1er";"1129.6";"957.7";"84.8";"07/06/2020"
"Al Wahda";"3522.3";"2577.8";"73.2";"07/06/2021"
"Al Wahda";"3522.3";"2255.7";"64";"07/06/2020"
"El Kensera";"216.4";"105.6";"48.8";"07/06/2021"
"El Kensera";"216.4";"91.5";"42.3";"07/06/2020"
"Bin El Ouidane";"1215.5";"419.5";"34.5";"07/06/2021"
"Bin El Ouidane";"1215.5";"445.7";"36.7";"07/06/2020"
"Al Hanssali";"668.2";"201";"30.1";"07/06/2021"
"Al Hanssali";"668.2";"170.1";"25.5";"07/06/2020"
"Al Massira";"2657";"322.5";"12.1";"07/06/2021"
"Al Massira";"2657";"450";"16.9";"07/06/2020"
